id_bano,numero_voie,nom_voie,code_postal,nom_commume,code_source_bano,latitude,longitude,code_departement,libelle_source
480020045J-186,186,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-187,187,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-40,40,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-76,76,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-90,90,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
48002B035E-1,1,La Garde,48200,Albaret-Sainte-Marie,CAD,44.870154,3.252494,48,Cadastre
48002B043N-80,80,Lesclache,48200,Albaret-Sainte-Marie,CAD,44.885957,3.237013,48,Cadastre
48002B059F-115,115,Orfeuillette,48200,Albaret-Sainte-Marie,CAD,44.87398,3.255729,48,Cadastre
48002B059F-301,301,Orfeuillette,48200,Albaret-Sainte-Marie,CAD,44.87398,3.255729,48,Cadastre
48002B059F-56,56,Orfeuillette,48200,Albaret-Sainte-Marie,CAD,44.87398,3.255729,48,Cadastre
48002B059F-6,6,Orfeuillette,48200,Albaret-Sainte-Marie,CAD,44.87398,3.255729,48,Cadastre
48005B013T-2,2,la Besserette,48100,Antrenas,CAD,44.570542,3.237924,48,Cadastre
48005b0bbb-1864,1864,Avenue de la Meridienne,48100,Antrenas,CAD,44.572166,3.277692,48,Cadastre
48005b1bbb-1,1,Impasse du Geant,48100,Antrenas,CAD,44.573981,3.273961,48,Cadastre
48005b1bbb-2,2,Impasse du Geant,48100,Antrenas,CAD,44.573981,3.273961,48,Cadastre
48005b1bbb-3,3,Impasse du Geant,48100,Antrenas,CAD,44.573981,3.273961,48,Cadastre
480080021G-1,1,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.662335,3.632358,48,Cadastre GSM
480080021G-2,2,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.662364,3.632561,48,Cadastre GSM
480080021G-3,3,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.662453,3.632552,48,Cadastre GSM
480080021G-5,5,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.662506,3.632703,48,Cadastre GSM
480080021G-6,6,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.662447,3.632504,48,Cadastre GSM
480080021G-7,7,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.665517,3.633449,48,Cadastre GSM
480080021G-9,9,Route d'Auranchet,48170,Arzenc-de-Randon,C+O,44.662729,3.633065,48,Cadastre GSM
